Temperature,Tourists,Unemployment
5.08E+01,5788698,4525691
5.25E+01,5804852,4512153
5.66E+01,7047851,4451939
6.23E+01,8789578,4333016
7.03E+01,9943820,4215031
7.40E+01,10112779,4120304
7.81E+01,13352295,4046276
7.64E+01,15410082,4067955
7.10E+01,10820543,4094042
6.79E+01,9940966,4176369
6.08E+01,6429628,4149298
5.80E+01,6417639,4093508
5.63E+01,6133318,4150755
5.57E+01,6254862,4152986
5.50E+01,7684502,4094770
6.07E+01,9254452,4011171
6.57E+01,10409297,3891403
7.25E+01,10882964,3767054
7.85E+01,14103246,3683061
7.97E+01,15765727,3697496
7.42E+01,11331574,3720297
6.84E+01,10238948,3764982
5.87E+01,6623135,3789823
5.56E+01,6879053,3702974
5.04E+01,6200774,3760231
5.64E+01,6600345,3750876
5.84E+01,7552469,3702317
6.36E+01,10660952,3573036
6.90E+01,11438274,3461128
7.69E+01,11485278,3362811
7.62E+01,15121496,3335924
7.81E+01,15835528,3382324
7.34E+01,12374962,3410182
7.17E+01,10535814,3467026
5.97E+01,6973620,3474281
5.26E+01,6937773,3412781
5.15E+01,6489874,3476528
5.12E+01,6615762,3470248
5.75E+01,8326310,3422551
6.01E+01,10301539,3335868
6.42E+01,11624018,3252130
6.88E+01,11780733,3162162
7.21E+01,14766107,3135021
7.87E+01,16121776,3182068
7.70E+01,12803621,3202509
6.71E+01,11153466,3254703
5.95E+01,7241009,3252867
5.48E+01,7231453,3202297
5.11E+01,6784666,3285761
5.48E+01,6984740,3289040
5.96E+01,8643169,3255084
6.09E+01,10721891,3163566
6.88E+01,11363709,3079491
6.93E+01,12305955,3015686
7.32E+01,14534938,3011433
7.55E+01,16155889,3065804
7.30E+01,12698879,3079711
6.62E+01,11034547,3177659
5.93E+01,7606142,3198184
5.65E+01,7335560,3163605
5.22E+01,6857790,3253853
5.78E+01,7174414,3246047
5.88E+01,3332035,3548312
6.16E+01,0,3831203
6.87E+01,0,3857776
7.10E+01,656181,3862883
7.84E+01,4763482,3773034
7.65E+01,5354768,3802814
7.45E+01,3014977,3776485
6.50E+01,2681899,3826043
6.20E+01,1000276,3851312
5.55E+01,1574148,3888137
5.11E+01,1250748,3964353
5.74E+01,80302,4008789
5.84E+01,1238091,3949640
6.29E+01,1246691,3910628
6.78E+01,2692002,3781250
7.11E+01,3942082,3614339
7.57E+01,6997238,3416498
7.55E+01,8581154,3333915
7.32E+01,7064833,3257802
7.01E+01,7429965,3257068
5.70E+01,5323293,3182687
5.76E+01,5062259,3105905
5.34E+01,4245309,3123078
5.66E+01,5303459,3111684
5.72E+01,6050455,3108763
6.02E+01,8601180,3022503
7.01E+01,9671179,2922991
7.34E+01,10096255,2880582
8.04E+01,12947148,2883812
7.57E+01,13170026,2924240
7.18E+01,10821048,2941919
7.13E+01,10057831,2914892